"paper_id","category","year","keywords","cited_by"
"10.1109/ICCD.2018.00060","MLAccelerator",2018,"inference accelerators architecture accelerator implementation successfully application specific distributions multivariate","6"
"10.1007/978-981-19-8069-5_2","MLAccelerator",2022,"computational computing directions traditional artificial extensive experimented extensively solutions analyses","0"
"10.1117/12.2519554","MLAccelerator",2019,"computations understanding subdiscipline intelligence artificial provide addition accelerators proposed types","0"
"10.1145/3566097.3568356","MLAccelerator",2023,"application emerging increased revolutionized learning facilitating substantial intensive devising mechanisms","0"
"10.1016/j.nima.2019.163240","MLAccelerator",2020,"failures accelerator actually classification reliability downtime particle difficult identify mitigate","8"
"10.1145/2694344.2694358","MLAccelerator",2015,"accelerator efficiencies technique learning applications systems techniques commercial process flexibility","34"
"10.1038/s41467-020-20245-6","MLAccelerator",2020,"accelerators optimization accelerator evolution parameters revolutionize science areas accelerating structure","9"
"10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00076","MLAccelerator",2019,"algorithms semantics framework specific accelerators networks coprocessor abstraction acceleration concept","0"
"10.1145/3583781.3590242","MLAccelerator",2023,"deterministic incorrect accelerators accelerator specified fabrication proposed intellectual ip property","0"
"10.1145/2950067.2950083","MLAccelerator",2016,"network based oscillator learning introduces accelerator multiplication calculation developed composed","0"
"10.1145/2897937.2898003","MLAccelerator",2016,"accelerators application solution efficient design applications innovative enabling advances neural","13"
"10.1109/ASAP54787.2022.00026","MLAccelerator",2022,"environment learning accelerator cumulative reinforcement concerned classical algorithms","1"
"10.1109/dcis201949030.2019.8959937","MLAccelerator",2019,"techniques advanced implementing water leading relevance agro farming gaining applications","0"
"10.1145/3310273.3321563","MLAccelerator",2019,"performance computing optimizations optimization accelerators productively systems underlying effectiveness accelerator","0"
"10.1109/TCAD.2019.2927523","MLAccelerator",2020,"core single accelerators respectively compared applications techniques emerging learning tools","0"
"10.1103/PhysRevAccelBeams.26.044602","MLAccelerator",2023,"prediction distribution ability applications bayesian quantile regression methods inference properly","0"
"10.1142/S0217751X19420193","MLAccelerator",2019,"optimization application technical methods particle approaches finding greater extent nature","0"
"10.1109/TCSII.2022.3168404","MLAccelerator",2022,"technology computing processing potential efficiently standard architecture progress recent level","0"
"10.1371/journal.pone.0252634","MLAccelerator",2021,"","0"
"10.1109/TNS.2016.2543203","MLAccelerator",2016,"accelerators control complex techniques particularly modeling systems particle networks physical","17"
"10.1002/tee.22614","MLAccelerator",2018,"motion function regression analysis network approximation compared estimated accelerator models","0"
"10.1109/VLSID51830.2021.00060","MLAccelerator",2021,"implementation performance accelerator requirements provide high configuration components processing precision","2"
"10.3390/info12060238","MLAccelerator",2021,"accelerators detection complicated potential significant modeling particular significantly operation identifying","1"
"10.1109/dft50435.2020.9250856","MLAccelerator",2020,"radiation applications increasing probability intensity activation detection changes measures variation","1"
"10.1109/MM.2020.2986199","MLAccelerator",2020,"performance irregular improvements accelerators targeting processors processing advanced important learning","0"
"10.1118/1.4888378","MLAccelerator",2014,"","0"
"10.1016/j.anucene.2016.08.031","MLAccelerator",2017,"kinetic application inverse proposed presents applications generalization classical capabilities training","0"
"10.3390/s20205795","MLAccelerator",2020,"practical processing recognition localization influential applications conditions applicable performance severely","0"
"10.1109/HPEC55821.2022.9926296","MLAccelerator",2022,"scaling applications accelerators computational systems requirements especially technology networks","0"
"10.1109/TETC.2021.3049826","MLAccelerator",2022,"detection accelerators performance vulnerabilities accelerator increasing efficiency pressures processes intent","0"
"10.1109/TSC.2017.2777478","MLAccelerator",2021,"performance significant accelerators scalability present hardware processors emerging learning field","1"
"10.1109/AICAS51828.2021.9458433","MLAccelerator",2021,"accelerators design multiplication operations efficient based computing degradation peripheral nature","0"
"10.3390/a15050150","MLAccelerator",2022,"participants conversation attention accelerator engagement audience observe meeting level convolutional","0"
"10.1109/mocast.2019.8741875","MLAccelerator",2019,"accelerator applications prediction assumptions effective classification efficient unrealistic especially classifiers","0"
"10.1145/3297858.3304049","MLAccelerator",2019,"multiplications fundamental limitations efficiency capable accelerators effective applications limited special","50"
"10.1109/QCS56647.2022.00010","MLAccelerator",2022,"computing control hardware traditional learning practical implementations efficient technologies determining","0"
"10.1088/2632-2153/abc81e","MLAccelerator",2021,"optimization efficient accelerators critical performance design stochastic accelerator problems significantly","0"
"10.1109/dac18072.2020.9218489","MLAccelerator",2020,"accelerators exploration processing systems generation efficient including generate difficult evolving","0"
"10.1007/s11704-016-6159-1","MLAccelerator",2017,"accelerators researchers especially commercial applications emerging successful computation considerable identification","4"
"10.1145/2996864","MLAccelerator",2016,"applications systems centers broad pervasive accelerators designing simultaneously application heterogeneous","18"
"10.1109/HPCA.2019.00036","MLAccelerator",2019,"accelerators performance development engineering deployment investments computation supporting applications system","1"
"10.23919/DATE51398.2021.9474016","MLAccelerator",2021,"computing accelerators inference affecting reliability fabrication central efficiency massively networks","0"
"10.1109/ISCA.2018.00015","MLAccelerator",2018,"accelerators design operations computing capability efficiencies algorithms interfaces programmability enable","7"
"10.3390/info12040161","MLAccelerator",2021,"adaptive complex systems approaches independent control identification applications detection creating","3"
"10.1109/TVLSI.2022.3170233","MLAccelerator",2022,"accelerators accumulation development applications learning ubiquitous architecture accelerator primary arrays","1"
"10.1109/TVLSI.2021.3076081","MLAccelerator",2021,"proposed execution training hardware applications interpretability decision learning consuming process","1"
"10.1007/s11227-020-03325-8","MLAccelerator",2021,"accelerators significant performance provide evolution systems artificial intelligence profiling solutions","7"
"10.3389/fphy.2022.875464","MLAccelerator",2022,"applications system physical numerical systems downtime production interest cryogenic accelerator","0"
"10.3390/make1010005","MLAccelerator",2019,"accelerators techniques computing unconventional operations processing computation capabilities efficiently technology","11"
"10.1109/ISNFS.1996.603819","MLAccelerator",1996,"significantly inference function present derivative","0"
"10.1109/ISCA45697.2020.00083","MLAccelerator",2020,"embedding recommendations compute performance application e.g. domains personalized accelerating designing","4"
"10.1109/CANDAR.2016.106","MLAccelerator",2016,"learning computing processing applications recognition widely processors accelerators application inefficient","0"
"10.1109/FPL50879.2020.00058","MLAccelerator",2020,"accelerators convolutions computing specialized dimensional development significant requirements adaptability reconfiguration","0"
"10.1103/PhysRevAccelBeams.21.112802","MLAccelerator",2018,"accelerators approach training distribution application predicting particle measurements nondestructive diagnostic","18"
"10.1109/MM.2018.2877839","MLAccelerator",2018,"accelerators accelerator retrospective special architectures computing applications performance learning compute","1"
"10.1088/1748-0221/18/04/P04010","MLAccelerator",2023,"optimization bayesian storage complex processes dimensional typical application injection germany","0"
"10.1145/3503222.3507767","MLAccelerator",2022,"accelerators optimized generated compared workloads inference specific changing optimization accelerator","0"
"10.3390/s23094297","MLAccelerator",2023,"multiplication accelerators optimizations multiplier reduction integral primitive modern optimization considered","0"
"10.1109/TCAD.2022.3197540","MLAccelerator",2022,"reliability accelerators intelligence application efficiency networks criticality context advanced characteristics","1"
"10.1109/TNANO.2017.2732698","MLAccelerator",2018,"accelerator multilayer efficient learning challenge hardware dimensional introduces neural cmos","7"
"10.1109/IISWC55918.2022.00017","MLAccelerator",2022,"accelerators convolutional different devices products power widely major discuss details","0"
"10.1109/ICCD56317.2022.00087","MLAccelerator",2022,"algorithms propagation processing accelerator relational enable network data computationally characteristics","0"
"10.1016/j.sysarc.2019.101635","MLAccelerator",2019,"learning applications techniques architecture system accelerators improvements rise dl continues","4"
"10.1109/ICWS.2016.91","MLAccelerator",2016,"significant accelerators scalability hardware processors emerging learning field decades past","2"
"10.1109/IV48863.2021.9575141","MLAccelerator",2021,"classification complexity model acceleration modulation presents methodology computational ternary developed","0"
"10.1109/MLHPC54614.2021.00014","MLAccelerator",2021,"simulation accelerators exploration cognitive scientific learning complex computational component challenging","1"
"10.1109/IMS19712.2021.9574932","MLAccelerator",2021,"classification complexity model acceleration modulation presents methodology computational ternary developed","0"
"10.1016/j.nima.2016.04.099","MLAccelerator",2016,"discharges electrical system severity classify uncontrolled components conditioning exception accelerator","0"
"10.1109/HPEC55821.2022.9926331","MLAccelerator",2022,"accelerators performance processors survey past updates consumption current commercial observations","2"
"10.18287/2412-6179-CO-914","MLAccelerator",2022,"creating performance solution network efficient energy hardware accelerators networks processing","0"
"10.1109/TCSI.2017.2771437","MLAccelerator",2018,"implementing architecture accelerators efficiency accelerator adaptive effective successfully control programming","0"
"10.1109/TCSI.2022.3169028","MLAccelerator",2022,"accelerators approximation constants complexity prediction technique performance applications solutions efficient","0"
"10.1109/edm.2019.8823487","MLAccelerator",2019,"creating accelerators solutions design modular developed accelerator based neuromorphic fpga","0"
"10.1109/COOLCHIPS54332.2022.9772668","MLAccelerator",2022,"constraints applications requirement consumption challenging network design based ternary accelerator","0"
"10.1109/TCSI.2019.2921714","MLAccelerator",2019,"detection classification applications efficient programmable implemented processing including especially practical","0"
"10.1109/essderc.2019.8901818","MLAccelerator",2019,"processing accelerators inference multilevel recognition intelligence artificial objects impressive demonstrated","2"
"10.1109/icip.2019.8803645","MLAccelerator",2019,"accelerators accuracy conventional detection vehicle potential applications enable efficient underestimated","0"
"10.1016/j.procs.2022.01.214","MLAccelerator",2022,"applications detection methods learning potential strategies avoidance indispensable industries chatter","0"
"10.1109/cstic49141.2020.9282536","MLAccelerator",2020,"perceptron design hardware structure significant artificial network possibility problems complicated","0"
"10.1109/COOLCHIPS57690.2023.10122120","MLAccelerator",2023,"learning conditions requires reinforcement unsupervised data transportation implemented applications finances","0"
"10.1145/3195970.3196074","MLAccelerator",2018,"preserving accelerator servers sensitive presents learning increasingly data based scenarios","1"
"10.1145/3547276.3548514","MLAccelerator",2022,"inference solution frameworks devices support performance learning application platforms increasing","0"
"10.1109/IPDPSW50202.2020.00086","MLAccelerator",2020,"compute finding parameters mainly tuning approach topologies constant learning hyperparameters","0"
"10.1145/3462329","MLAccelerator",2021,"applications approximate learning computing efficient consumption approximation partial information collected","0"
"10.1504/IJIEI.2022.10050882","MLAccelerator",2022,"architectures testing analysing simulators accelerator communication processor multi system scaling","0"
"10.1117/12.2608311","MLAccelerator",2022,"stable alignments generating accelerator electron helicity facility components experiment exceptional","0"
"10.1109/HPCA51647.2021.00075","MLAccelerator",2021,"modeling accelerators estimation frameworks artificial intelligence specific research integrated framework","0"
"10.1109/NANO58406.2023.10231158","MLAccelerator",2023,"inference demonstrated experimentally alternative scaling appealing exploration experimental introduction simulation","0"
"10.1145/3123939.3123979","MLAccelerator",2017,"learning acceleration system performance programmers multi distributed complexity systems general","5"
"10.1109/ACCESS.2022.3179047","MLAccelerator",2022,"detection approaches intrusion security supporting computing intervention requiring significant physical","0"
"10.1107/S1600577522008554","MLAccelerator",2022,"learning insertion facilities applied accelerator recently polarization radiated approach executing","0"
"10.1109/ISVLSI54635.2022.00066","MLAccelerator",2022,"accelerators significant network emission values possible invasive shown parameters engineering","0"
"10.1117/12.2633916","MLAccelerator",2022,"integration scalability accelerators applications generation possible large especially exploiting integrated","0"
"10.1109/TCAD.2022.3197503","MLAccelerator",2022,"accelerators acceleration efficient computing promising stochastic computational compute primitives approximation","0"
"10.1109/TVLSI.2022.3167449","MLAccelerator",2022,"processing accuracy reduction performance accelerators accelerator utilization convolutional applications networks","0"
"10.1109/ACCESS.2022.3229767","MLAccelerator",2022,"specialized accelerators computationally applications implementation development involving artificial technology modern","0"
"10.1145/2902961.2902986","MLAccelerator",2016,"processing systems physiological applications effective solution monitoring healthcare provide accurate","4"
"10.1145/3316781.3317787","MLAccelerator",2019,"performance improving accelerators presents degradation efficiency approximate computationally specialized intensive","1"
"10.1145/3575798","MLAccelerator",2023,"design architectures frameworks accelerator optimization gradients bayesian consumption higher lower","0"
"10.1109/HPCA53966.2022.00012","MLAccelerator",2022,"bayesian efficiency accelerators reduction based applications estimation decisions optimization developing","0"
"10.1145/3241793.3241810","MLAccelerator",2018,"learning classification architecture design technology information cornerstones machine requirements devices","2"
"10.3390/make4010004","MLAccelerator",2022,"computing accelerators techniques applications traditional systems intensive unconventional operations consumption","0"
"10.1109/JSSC.2020.3045369","MLAccelerator",2021,"network accelerator applications presents efficient non processing enabling encoding implements","2"
"10.1109/ICDCS51616.2021.00115","MLAccelerator",2021,"inference accelerators computing extensively provisioning research experience determining especially enabling","0"
"10.1103/PhysRevAccelBeams.23.044601","MLAccelerator",2020,"simulations optimization computational experiment accelerator models simulation approach accelerators particle","14"
"10.3390/app12010089","MLAccelerator",2022,"performance systems efficient arrays programmable algorithms comprehensive implemented platforms developers","1"
"10.1117/12.2633917","MLAccelerator",2022,"convolution complexity scaling fourier applications systems navigation critical tracking throughput","1"
"10.1109/MDAT.2020.2974914","MLAccelerator",2020,"demonstrate analysis learning network design","1"
"10.3390/info12020053","MLAccelerator",2021,"dynamics dynamic scientific approach problems engineering learning application profiting advanced","0"
"10.1109/dft50435.2020.9250763","MLAccelerator",2020,"testing accelerators accelerator controller computations implementation reconfigurable applications architecture reloadable","0"
"10.1109/H2RC49586.2019.00009","MLAccelerator",2019,"providers available powerful public offers instances acceleration application promising learning","1"
"10.1140/epjp/s13360-021-01348-5","MLAccelerator",2021,"optics degradation perturbations misalignments performance functions deviations correlation observables computation","2"
"10.1109/ISOCC56007.2022.10031488","MLAccelerator",2022,"model training graph proposed backend accelerator inference accelerators learning constructing","0"
"10.1109/ACCESS.2018.2890150","MLAccelerator",2019,"accelerators learning techniques demonstrated performance accelerating acceleration complex effectiveness intelligence","28"
"10.3390/electronics8020143","MLAccelerator",2019,"dimensions multiplication processing architecture applications calculation computing changeable performance consuming","2"
"10.1109/ISOCC53507.2021.9613902","MLAccelerator",2021,"practical accelerators applications technologies technology actively consumption systems solution current","0"
"10.1109/TC.2020.2983694","MLAccelerator",2021,"framework applications processing accelerator configuration efficient accelerators developed underlying models","4"
"10.1109/FCCM.2014.37","MLAccelerator",2014,"recognition training convolutional learning computing vision research multimedia combined performance","0"
"10.1145/3317550.3321441","MLAccelerator",2019,"performance computing numerical programmability systems improving innovative learning gradually","3"
"10.1145/3508352.3561121","MLAccelerator",2022,"criticality accelerators functional application networks ubiquitous neural inferencing deviations specific","0"
"10.1109/MDAT.2021.3133373","MLAccelerator",2022,"function conventional functions applications activation variable exponential implementation precision accelerators","0"
"10.1109/JETCAS.2019.2918317","MLAccelerator",2019,"demonstrations systems technologies architectures centric present contributions special areas introduce","1"
"10.1109/VTS52500.2021.9794227","MLAccelerator",2022,"accelerators development inference executions performance structural variations manifesting latent misclassification","0"
"10.1016/j.nima.2021.166064","MLAccelerator",2022,"properties classification spallation transformation differential detection underlying understanding precision predicting","2"
"10.1109/TC.2023.3257513","MLAccelerator",2023,"performance accelerators efficiency reconfigurable improvement processing movement propose balancing optimizations","0"
"10.1109/JXCDC.2023.3265803","MLAccelerator",2023,"computing present accelerators general applications communications increasing separation processing systems","0"
"10.1145/3543176","MLAccelerator",2023,"accelerators specific application availability performance corresponding interfaces consumption interoperability","0"
"10.1109/ISTM54910.2022.00013","MLAccelerator",2022,"accelerator solution sub systems convolutional classification implementation presents based demonstrates","0"
"10.1109/PACT.2017.49","MLAccelerator",2017,"specialized processing networking learning ranging accelerators demands purpose mainstream hardware","0"
"10.1109/sbcci50935.2020.9189899","MLAccelerator",2020,"reconfigurable exploration solutions simulation comparing prediction applications accelerators current systems","1"
"10.1145/3505170.3506730","MLAccelerator",2022,"compute development applications intensive architectures conventional highlighting differences strategies approach","0"
"10.1109/ISVLSI54635.2022.00064","MLAccelerator",2022,"process ml machine algorithms learning intervention ability experience technology minimal","0"
"10.1145/3551901.3556489","MLAccelerator",2022,"accelerators throughs learning ml product prediction framework exploration enable accelerated","0"
"10.1007/978-3-030-02465-9_11","MLAccelerator",2018,"automation reaching exascale supercomputers level optimization application statistical methods performance","0"
"10.1145/3445814.3446697","MLAccelerator",2021,"probabilistic statistical models algorithms learning conventional computations specialized techniques","1"
"10.1145/3125502.3125532","MLAccelerator",2017,"network detection intrusion accelerator learning potential comfortability intrusions efficiency deployment","0"
"10.1109/RADIOELEKTRONIKA54537.2022.9764951","MLAccelerator",2022,"different scales adaptive accelerator system multiple technology finance learning ubiquitous","0"
"10.1109/FPL.2016.7577315","MLAccelerator",2016,"computational convolutional present significant networks accelerators efficiency proposed improve based","0"
"10.1016/j.engappai.2009.05.004","MLAccelerator",2009,"accelerators resulting measurements selection learning selector underlying structure modern particles","1"
"10.1109/TCSII.2022.3174622","MLAccelerator",2022,"computation interfaces applications elements accelerators networks activations systems accelerate dedicated","0"
"10.1007/s10278-022-00743-3","MLAccelerator",2023,"learning classification computations accelerators performance especially interesting leading industry contexts","0"
"10.1145/3572908","MLAccelerator",2023,"applications accelerators specific processing acceleration learning hardware existing programmability performance","1"
"10.1109/TPDS.2021.3104240","MLAccelerator",2022,"accelerators spatial optimized applications learning interest growing interacting processing elements","1"
"10.1016/j.nima.2020.164652","MLAccelerator",2021,"techniques applications learning broad entails widely advanced analysis power energy","11"
"10.1109/PRIME58259.2023.10161944","MLAccelerator",2023,"reconfiguration configuration reconfigurable processing partial automatically present leverages formulated contextual","0"
"10.1109/icce-tw46550.2019.8991862","MLAccelerator",2019,"detection accelerator efficient developed design partial realization calculations regions operations","0"
"10.1017/hpl.2022.47","MLAccelerator",2023,"spectrum generated electron model created convolutional variational constructed secondary estimation","1"
"10.1109/DSD.2018.00070","MLAccelerator",2018,"solutions compressed processing convolutional accelerating propose accelerator quantized existing complete","1"
"10.1145/3299874.3319458","MLAccelerator",2019,"networks binary computing present neural convolutional ternary computes product accuracy","1"
"10.1109/ISCAS.2018.8351731","MLAccelerator",2018,"opportunities intersection introduced design learning approaches promising challenges computer classical","0"
"10.1088/2632-2153/acb98d","MLAccelerator",2023,"beamline identifying condition settings continuous accelerator present initial efficiency operational","0"
"10.1109/TETC.2022.3147376","MLAccelerator",2022,"radiation prediction increasing probability intensity systems activation enable detection changes","0"
"10.1109/IPDPSW55747.2022.00124","MLAccelerator",2022,"hardware computation accelerators workloads learning operators resulting multiprocessor resource studies","0"
"10.1109/TVLSI.2015.2420663","MLAccelerator",2016,"accelerator compute inference probabilistic applications bayesian frequency efficiency achieving threshold","3"
"10.1103/PhysRevLett.128.204801","MLAccelerator",2022,"accelerators statistical bayesian improvements increasingly modeling predicated components reproducibility mechanical","0"
"10.1145/3316781.3317936","MLAccelerator",2019,"accelerators computational underutilization convolution operation performance demonstrated intention adversarial learning","2"
"10.1109/PDP2018.2018.00058","MLAccelerator",2018,"learning core mapping development active technologies personal science demanding resources","0"
"10.1109/ISCAS51556.2021.9401623","MLAccelerator",2021,"data computation accelerator parallel parallelism designed content encryption process allows","0"
"10.1002/aaai.12032","MLAccelerator",2022,"accelerator researchers innovators solutions difference experiences innovation mentorship intense convergence","0"
"10.1145/3195970.3199847","MLAccelerator",2018,"inference learning increasingly prediction achieving algorithms manpower inefficient programming training","0"
"10.1145/3283450","MLAccelerator",2019,"accelerators processing designing presents generation existing optimization control linear","0"
"10.1145/3494049","MLAccelerator",2022,"systems processing network communication potential physical performance complexity unfeasible deployment","0"
"10.1145/3282444","MLAccelerator",2019,"accelerators perspective specialized addition processors programmable separation contrast presents verification","1"
"10.23919/icmu48249.2019.9006661","MLAccelerator",2019,"learning inference application implement control accelerators processing utilizing performance issues","0"
"10.1145/3400286.3418245","MLAccelerator",2021,"modeling accelerators performance learning network convolutional application inference incorporating furthermore","0"
"10.1109/TPDS.2020.3046870","MLAccelerator",2021,"integrated performance learning architectures discrete improvement especially accelerators accelerate heterogeneous","0"
"10.1109/IJCNN55064.2022.9891914","MLAccelerator",2022,"compute systems fundamental advances progress factors algorithmic study quantified trends","1"
"10.1109/HPCA56546.2023.10071018","MLAccelerator",2023,"compute intensive usually performance ubiquitous learning models operators recent convolution","0"
"10.1007/978-3-030-95388-1_36","MLAccelerator",2022,"development consumption artificial accelerator detection times computing performance complexity process","0"
"10.1109/TED.2021.3111857","MLAccelerator",2021,"accelerators performance system compute emerging learning proven integration heterogeneous scaling","1"
"10.1109/TETC.2020.2984992","MLAccelerator",2021,"based multi proposed access efficient reliable allowing important models robust","0"
"10.1155/2014/712085","MLAccelerator",2014,"performance applications important computation efficient multiplication processing optimization fundamental determining","1"
