,paper_id,category,year,keywords,cited_by
51,10.1016/j.vlsi.2018.11.010,MLAccelerator,2019,accelerators precision developments provides convolutional computational comprehensive introduction networks considerations,1
53,10.1109/MDAT.2022.3161126,MLAccelerator,2022,,0
55,10.1103/PhysRevAccelBeams.24.114601,MLAccelerator,2021,predictions accelerators reliable computational complex increasingly improved uncertainties models confident,2
57,10.1109/ISVLSI54635.2022.00060,MLAccelerator,2022,,0
58,10.1109/MICRO56248.2022.00084,MLAccelerator,2022,differentially protecting collection deployment contributed learning differential practical protection standard,0
59,10.1109/ISPASS51385.2021.00047,MLAccelerator,2021,accelerators performance acceleration processing executing operations heterogeneous learning computations resources,0
62,10.1109/HPEC49654.2021.9622867,MLAccelerator,2021,accelerators performance recognition applications detection learning processors survey past updates,5
65,10.1109/TCAD.2016.2587683,MLAccelerator,2017,accelerator complex emerging learning solving ability significant implementations practical construct,31
66,10.3390/electronics10111323,MLAccelerator,2021,classification learning optimization applications techniques processing different systems autonomous cornerstones,0
67,10.1109/JSSC.2013.2253226,MLAccelerator,2013,specific functions customization sensing indicative technologies physiologically acquiring ability requirement,11
69,10.1007/978-981-19-8069-5_2,MLAccelerator,2022,computational computing directions traditional artificial extensive experimented extensively solutions analyses,0
71,10.1145/3566097.3568356,MLAccelerator,2023,application emerging increased revolutionized learning facilitating substantial intensive devising mechanisms,0
72,10.1016/j.nima.2019.163240,MLAccelerator,2020,failures accelerator actually classification reliability downtime particle difficult identify mitigate,8
73,10.1145/2694344.2694358,MLAccelerator,2015,accelerator efficiencies technique learning applications systems techniques commercial process flexibility,34
74,10.1038/s41467-020-20245-6,MLAccelerator,2020,accelerators optimization accelerator evolution parameters revolutionize science areas accelerating structure,9
75,10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00076,MLAccelerator,2019,algorithms semantics framework specific accelerators networks coprocessor abstraction acceleration concept,0
78,10.1145/2897937.2898003,MLAccelerator,2016,accelerators application solution efficient design applications innovative enabling advances neural,13
79,10.1109/ASAP54787.2022.00026,MLAccelerator,2022,environment learning accelerator cumulative reinforcement concerned classical algorithms,1
83,10.1103/PhysRevAccelBeams.26.044602,MLAccelerator,2023,prediction distribution ability applications bayesian quantile regression methods inference properly,0
85,10.1109/TCSII.2022.3168404,MLAccelerator,2022,technology computing processing potential efficiently standard architecture progress recent level,0
87,10.1109/TNS.2016.2543203,MLAccelerator,2016,accelerators control complex techniques particularly modeling systems particle networks physical,17
89,10.1109/VLSID51830.2021.00060,MLAccelerator,2021,implementation performance accelerator requirements provide high configuration components processing precision,2
90,10.3390/info12060238,MLAccelerator,2021,accelerators detection complicated potential significant modeling particular significantly operation identifying,1
91,10.1109/dft50435.2020.9250856,MLAccelerator,2020,radiation applications increasing probability intensity activation detection changes measures variation,1
98,10.1109/TSC.2017.2777478,MLAccelerator,2021,performance significant accelerators scalability present hardware processors emerging learning field,1
99,10.1109/AICAS51828.2021.9458433,MLAccelerator,2021,accelerators design multiplication operations efficient based computing degradation peripheral nature,0
102,10.1145/3297858.3304049,MLAccelerator,2019,multiplications fundamental limitations efficiency capable accelerators effective applications limited special,50
106,10.1007/s11704-016-6159-1,MLAccelerator,2017,accelerators researchers especially commercial applications emerging successful computation considerable identification,4
107,10.1145/2996864,MLAccelerator,2016,applications systems centers broad pervasive accelerators designing simultaneously application heterogeneous,18
108,10.1109/HPCA.2019.00036,MLAccelerator,2019,accelerators performance development engineering deployment investments computation supporting applications system,1
109,10.23919/DATE51398.2021.9474016,MLAccelerator,2021,computing accelerators inference affecting reliability fabrication central efficiency massively networks,0
110,10.1109/ISCA.2018.00015,MLAccelerator,2018,accelerators design operations computing capability efficiencies algorithms interfaces programmability enable,7
111,10.3390/info12040161,MLAccelerator,2021,adaptive complex systems approaches independent control identification applications detection creating,3
112,10.1109/TVLSI.2022.3170233,MLAccelerator,2022,accelerators accumulation development applications learning ubiquitous architecture accelerator primary arrays,1
114,10.1007/s11227-020-03325-8,MLAccelerator,2021,accelerators significant performance provide evolution systems artificial intelligence profiling solutions,7
116,10.3390/make1010005,MLAccelerator,2019,accelerators techniques computing unconventional operations processing computation capabilities efficiently technology,11
118,10.1109/ISCA45697.2020.00083,MLAccelerator,2020,embedding recommendations compute performance application e.g. domains personalized accelerating designing,4
121,10.1103/PhysRevAccelBeams.21.112802,MLAccelerator,2018,accelerators approach training distribution application predicting particle measurements nondestructive diagnostic,18
126,10.1109/TCAD.2022.3197540,MLAccelerator,2022,reliability accelerators intelligence application efficiency networks criticality context advanced characteristics,1
127,10.1109/TNANO.2017.2732698,MLAccelerator,2018,accelerator multilayer efficient learning challenge hardware dimensional introduces neural cmos,7
130,10.1016/j.sysarc.2019.101635,MLAccelerator,2019,learning applications techniques architecture system accelerators improvements rise dl continues,4
131,10.1109/ICWS.2016.91,MLAccelerator,2016,significant accelerators scalability hardware processors emerging learning field decades past,2
133,10.1109/MLHPC54614.2021.00014,MLAccelerator,2021,simulation accelerators exploration cognitive scientific learning complex computational component challenging,1
136,10.1109/HPEC55821.2022.9926331,MLAccelerator,2022,accelerators performance processors survey past updates consumption current commercial observations,2
137,10.18287/2412-6179-CO-914,MLAccelerator,2022,creating performance solution network efficient energy hardware accelerators networks processing,0
138,10.1109/TCSI.2017.2771437,MLAccelerator,2018,implementing architecture accelerators efficiency accelerator adaptive effective successfully control programming,0
139,10.1109/TCSI.2022.3169028,MLAccelerator,2022,accelerators approximation constants complexity prediction technique performance applications solutions efficient,0
143,10.1109/essderc.2019.8901818,MLAccelerator,2019,processing accelerators inference multilevel recognition intelligence artificial objects impressive demonstrated,2
151,10.1145/3462329,MLAccelerator,2021,applications approximate learning computing efficient consumption approximation partial information collected,0
156,10.1145/3123939.3123979,MLAccelerator,2017,learning acceleration system performance programmers multi distributed complexity systems general,5
157,10.1109/ACCESS.2022.3179047,MLAccelerator,2022,detection approaches intrusion security supporting computing intervention requiring significant physical,0
160,10.1117/12.2633916,MLAccelerator,2022,integration scalability accelerators applications generation possible large especially exploiting integrated,0
161,10.1109/TCAD.2022.3197503,MLAccelerator,2022,accelerators acceleration efficient computing promising stochastic computational compute primitives approximation,0
162,10.1109/TVLSI.2022.3167449,MLAccelerator,2022,processing accuracy reduction performance accelerators accelerator utilization convolutional applications networks,0
163,10.1109/ACCESS.2022.3229767,MLAccelerator,2022,specialized accelerators computationally applications implementation development involving artificial technology modern,0
164,10.1145/2902961.2902986,MLAccelerator,2016,processing systems physiological applications effective solution monitoring healthcare provide accurate,4
165,10.1145/3316781.3317787,MLAccelerator,2019,performance improving accelerators presents degradation efficiency approximate computationally specialized intensive,1
166,10.1145/3575798,MLAccelerator,2023,design architectures frameworks accelerator optimization gradients bayesian consumption higher lower,0
167,10.1109/HPCA53966.2022.00012,MLAccelerator,2022,bayesian efficiency accelerators reduction based applications estimation decisions optimization developing,0
168,10.1145/3241793.3241810,MLAccelerator,2018,learning classification architecture design technology information cornerstones machine requirements devices,2
170,10.1109/JSSC.2020.3045369,MLAccelerator,2021,network accelerator applications presents efficient non processing enabling encoding implements,2
172,10.1103/PhysRevAccelBeams.23.044601,MLAccelerator,2020,simulations optimization computational experiment accelerator models simulation approach accelerators particle,14
173,10.3390/app12010089,MLAccelerator,2022,performance systems efficient arrays programmable algorithms comprehensive implemented platforms developers,1
174,10.1117/12.2633917,MLAccelerator,2022,convolution complexity scaling fourier applications systems navigation critical tracking throughput,1
179,10.1140/epjp/s13360-021-01348-5,MLAccelerator,2021,optics degradation perturbations misalignments performance functions deviations correlation observables computation,2
181,10.1109/ACCESS.2018.2890150,MLAccelerator,2019,accelerators learning techniques demonstrated performance accelerating acceleration complex effectiveness intelligence,28
182,10.3390/electronics8020143,MLAccelerator,2019,dimensions multiplication processing architecture applications calculation computing changeable performance consuming,2
184,10.1109/TC.2020.2983694,MLAccelerator,2021,framework applications processing accelerator configuration efficient accelerators developed underlying models,4
186,10.1145/3317550.3321441,MLAccelerator,2019,performance computing numerical programmability systems improving innovative learning gradually,3
189,10.1109/JETCAS.2019.2918317,MLAccelerator,2019,demonstrations systems technologies architectures centric present contributions special areas introduce,1
191,10.1016/j.nima.2021.166064,MLAccelerator,2022,properties classification spallation transformation differential detection underlying understanding precision predicting,2
192,10.1109/TC.2023.3257513,MLAccelerator,2023,performance accelerators efficiency reconfigurable improvement processing movement propose balancing optimizations,0
193,10.1109/JXCDC.2023.3265803,MLAccelerator,2023,computing present accelerators general applications communications increasing separation processing systems,0
197,10.1109/sbcci50935.2020.9189899,MLAccelerator,2020,reconfigurable exploration solutions simulation comparing prediction applications accelerators current systems,1
198,10.1145/3505170.3506730,MLAccelerator,2022,compute development applications intensive architectures conventional highlighting differences strategies approach,0
202,10.1145/3445814.3446697,MLAccelerator,2021,probabilistic statistical models algorithms learning conventional computations specialized techniques,1
207,10.1109/TCSII.2022.3174622,MLAccelerator,2022,computation interfaces applications elements accelerators networks activations systems accelerate dedicated,0
211,10.1016/j.nima.2020.164652,MLAccelerator,2021,techniques applications learning broad entails widely advanced analysis power energy,11
214,10.1017/hpl.2022.47,MLAccelerator,2023,spectrum generated electron model created convolutional variational constructed secondary estimation,1
215,10.1109/DSD.2018.00070,MLAccelerator,2018,solutions compressed processing convolutional accelerating propose accelerator quantized existing complete,1
218,10.1088/2632-2153/acb98d,MLAccelerator,2023,beamline identifying condition settings continuous accelerator present initial efficiency operational,0
221,10.1109/TVLSI.2015.2420663,MLAccelerator,2016,accelerator compute inference probabilistic applications bayesian frequency efficiency achieving threshold,3
223,10.1145/3316781.3317936,MLAccelerator,2019,accelerators computational underutilization convolution operation performance demonstrated intention adversarial learning,2
236,10.1007/978-3-030-95388-1_36,MLAccelerator,2022,development consumption artificial accelerator detection times computing performance complexity process,0
238,10.1109/TETC.2020.2984992,MLAccelerator,2021,based multi proposed access efficient reliable allowing important models robust,0
240,10.1109/HPCA47549.2020.00046,MLAccelerator,2020,architectures accelerators classification recognition applications networks designing efficient platforms dissipation,2
241,10.1109/TNNLS.2019.2899386,MLAccelerator,2020,inference bayesian learning classification backpropagation compared accuracy multi propose divergence,0
244,10.1109/MM.2018.043191125,MLAccelerator,2018,multiplier precision inference computing constrained algorithms learning devices component accelerators,1
247,10.1063/5.0127492,MLAccelerator,2023,accelerators processing optical significant heterogeneous throughput potential classification engineering interest,0
249,10.3390/electronics10060652,MLAccelerator,2021,factoring applications elements accelerators modern learning primary substantially propagation accumulation,2
254,10.1145/2996192,MLAccelerator,2017,computing multiplication conversion architecture control distributed significant compared throughput resistive,4
257,10.1016/j.micpro.2019.102960,MLAccelerator,2020,implementation complex effective learning demonstrated emergence technologies availability particular processing,0
258,10.1038/s41928-023-00977-1,MLAccelerator,2023,computational computing materials solutions conventional complementary computation alternative development technology,0
259,10.1145/3218603.3218611,MLAccelerator,2018,learning models performance state art evaluating directly terms obtained environments,5
263,10.1103/PhysRevE.107.045302,MLAccelerator,2023,adaptive particle improving distribution approach variation convolutional diffraction compact developing,0
264,10.1109/ACCESS.2021.3076207,MLAccelerator,2021,computing bayesian parallel probabilistic supporting sampling distributions processing applications compute,0
266,10.1109/MC.2016.312,MLAccelerator,2016,conventional traction alternative systems efficiency computing dissipation instruction relative proposed,4
267,10.1126/sciadv.abn8325,MLAccelerator,2022,functionalities dynamics considerable accelerating properties interest transient attractors spontaneous experimentally,1
270,10.1109/TNNLS.2017.2665555,MLAccelerator,2018,computational applications acceleration architecture implemented performance presence commercial considerably practical,5
271,10.1016/j.sysarc.2020.101839,MLAccelerator,2021,hardware researchers accelerators techniques learning recognition translation generation effectiveness intelligence,2
272,10.3390/electronics9050781,MLAccelerator,2020,approaches performance limitations alignment accelerators challenging particle tuning optimal different,3
273,10.1145/3126908.3126964,MLAccelerator,2017,systems accelerators resilience learning networks solving successful neural specialized efficiency,19
274,10.1109/IPDPS.2017.59,MLAccelerator,2017,accelerators requirements interleave optimizations networks mainstream application learning domains convolutional,2
275,10.1109/MICRO.2018.00021,MLAccelerator,2018,system constrains physical accelerator learning accelerators communication transparently inter providing,5
276,10.1109/TC.2020.3048624,MLAccelerator,2022,networks accelerators logical convolutional applications perceptron multilayer existing underutilization elements,1
279,10.1109/ISLPED58423.2023.10244262,MLAccelerator,2023,system computation conventional learning level accelerators computations computing decryption encryption,0
280,10.1109/ISVLSI54635.2022.00030,MLAccelerator,2022,applications accelerating recognition dependencies detection activity implementing variants recent rnn,1
284,10.1109/TCSI.2018.2852260,MLAccelerator,2018,proposed solutions implementation architectures recognition processing increasingly learning particular applications,3
288,10.3390/data6040042,MLAccelerator,2021,sequential controllable optimization regulation operating knowledge documented parameters accelerator available,2
289,10.1109/ISCAS48785.2022.9937772,MLAccelerator,2022,classification learning multiple models high explainability understanding certain capability predicted,0
290,10.1109/PACT.2015.21,MLAccelerator,2015,computation network accelerators implementations interface extensions computations approaches learning programming,1
296,10.1016/bs.adcom.2020.11.005,MLAccelerator,2021,computing recognition processing inference consumption classification intelligence development techniques based,1
298,10.1109/ISVLSI51109.2021.00019,MLAccelerator,2021,performance accelerators models mapping utilization estimation efficiency adaptability based convolutional,0
300,10.1038/s41598-021-98785-0,MLAccelerator,2021,systems complex measurements distributions relationships learning directly capabilities predictive degrade,2
302,10.1109/FCCM.2017.47,MLAccelerator,2017,accelerators processing convolutional networks cnns challenging learning evaluation efficiency throughput,7
306,10.1016/j.dib.2022.108473,MLAccelerator,2022,spallation collected facility subsystems modulators neutron frequency ions produce accelerate,2
312,10.1109/iccad45719.2019.8942149,MLAccelerator,2019,components accelerators accelerator computation applications improvements scaling exploration estimations requiring,8
313,10.1109/DAC56929.2023.10247873,MLAccelerator,2023,reconfigurable accelerators approaches framework computational maintaining flexibility accelerate support,0
316,10.1145/3331469,MLAccelerator,2019,efficient accelerators performance learning models certain data applications especially networks,1
321,10.1109/DAC56929.2023.10247695,MLAccelerator,2023,classification regression learning algorithm machine deterministic efficiently patterns irregular current,0
322,10.3390/s21134412,MLAccelerator,2021,applications implementation environments compute optimization intensive transformation advancements breakthroughs technology,4
323,10.1109/ITC44778.2020.9325272,MLAccelerator,2020,criticality functional networks based accelerators application artificial intelligence structural classifying,4
324,10.1145/3297858.3304019,MLAccelerator,2019,learning accelerators performance improvement applications probabilistic models variety effectively interpretable,3
328,10.1109/HPCA47549.2020.00035,MLAccelerator,2020,networks accelerators computational increasing proposed convolutional existing primitive portion processing,5
330,10.1109/VLSI-SoC54400.2022.9939591,MLAccelerator,2022,accelerators computations convolutional learning networks computer tools compute development requirement,0
339,10.1109/HiPC53243.2021.00037,MLAccelerator,2021,computation dynamic prediction recognition including applications artificial networks substantial parameters,0
341,10.1109/JPROC.2021.3098483,MLAccelerator,2021,processing accelerators computations models learning important domains widely applications compressed,2
343,10.1145/3508352.3561105,MLAccelerator,2022,efficient application systems implementation computing alternative requirements activities research applied,0
347,10.1109/MICRO50266.2020.00042,MLAccelerator,2020,capabilities devices learning applications efficient increasing demand integrating computational deployment,3
349,10.1038/s41598-021-86650-z,MLAccelerator,2021,solution processing segmentation observation information valuable offering technology large small,2
351,10.1145/1854273.1854309,MLAccelerator,2010,performance intermediate processing features data constraints unstructured classification general present,12
356,10.1109/ACCESS.2019.2961174,MLAccelerator,2019,architecture throughput applications suitable resources consumption presented implements efficient high,3
362,10.1017/hpl.2023.47,MLAccelerator,2023,experiments techniques powerful developed rapidly widely decades experimental exploration numerical,0
363,10.1109/JLT.2022.3146131,MLAccelerator,2022,optical computing classification operation demonstrated data approaches applications learning methods,5
367,10.1109/TLA.2020.9082927,MLAccelerator,2020,solutions consumption processing strategies convolutional classification networks content learning generally,0
370,10.1109/TCSI.2021.3122327,MLAccelerator,2021,computing regression learning including parameters solving problems algorithms fundamental potential,0
372,10.1088/1748-0221/16/10/P10008,MLAccelerator,2021,systems combinations complex distributions projections parameters collecting measurements dimensional convolutional,3
374,10.1109/ARITH.2019.00023,MLAccelerator,2019,precision fraction exponent computations accelerators inference emergence applications encountered optimized,3
376,10.3390/technologies8010006,MLAccelerator,2020,accelerators inference framework development convolutional reconfigurable alternative solutions optimizations performance,0
383,10.1007/s11082-023-05200-1,MLAccelerator,2023,applications computing photonic variations fabrication performance significant high accelerators processing,0
384,10.1016/j.micpro.2020.102991,MLAccelerator,2020,acceleration processing dynamic architecture accelerators convolutional accelerating propose accelerator quantized,3
390,10.1007/s11390-019-1914-z,MLAccelerator,2019,processing existing accelerators structure applications associated relationships science developing improving,2
396,10.1109/JSSC.2018.2822703,MLAccelerator,2018,computations integrated presents realization ic cmos nature inherent architecture resiliency,11
397,10.1109/ISVLSI.2018.00099,MLAccelerator,2018,networks intensive dramatically quantization accelerators efficiency system learning vision computer,2
401,10.1016/j.sysarc.2022.102561,MLAccelerator,2022,accelerators aspects increasing diminishing emerged approach called specialization generality necessity,0
407,10.1109/JSSC.2017.2787762,MLAccelerator,2018,extraction applications computations feature approximation accelerators respectively heterogeneous inference presents,0
409,10.1109/TCSI.2018.2839613,MLAccelerator,2018,accelerators adaptive increasing develop growing network convolutional developed efficient connected,3
410,10.1007/s00521-018-3761-1,MLAccelerator,2020,researchers convolutional significant cognitive interest computational accelerators boosting performance demands,19
413,10.1145/2133382.2133388,MLAccelerator,2012,performance applications processors intermediate processing features application improvement core constraints,8
416,10.1109/TVLSI.2019.2897052,MLAccelerator,2019,computation utilization convolutional distributions multipliers refinement integrates proposing mapping including,1
419,10.1109/MICRO50266.2020.00069,MLAccelerator,2020,hardware technique enables parallel advantage accelerator efficiency increasing process learning,4
425,10.1103/PhysRevAccelBeams.23.114601,MLAccelerator,2020,identification classification models accelerator superconducting development continuous facility accelerate,10
429,10.1145/3079856.3080254,MLAccelerator,2017,performance activations convolutional fundamental technology learning cnns especially critical electronic,79
432,10.1109/MICRO50266.2020.00058,MLAccelerator,2020,compute computations activations accelerators efficiency leveraging dataflow accelerator captured reuse,7
435,10.1145/3177865,MLAccelerator,2018,models components functional simulation estimation optimization enable performance system abstraction,2
436,10.1109/TVLSI.2020.3020286,MLAccelerator,2021,computing feasible compute operations inference networks multiply neural relatively computations,4
437,10.1145/3020078.3021741,MLAccelerator,2017,convolutional current networks vision state computation methods require outperform cnns,20
444,10.1145/3240765.3240855,MLAccelerator,2018,computation ineffectual accelerators consideration designing learning predominant remarkable mainly values,3
445,10.1145/3233987,MLAccelerator,2018,consumption programmed power processing significant intelligence gaining structure integrated current,1
449,10.1016/j.vlsi.2021.08.004,MLAccelerator,2021,classification techniques implementation methods number introduced recently processing reasonable large,1
454,10.1088/1674-4926/41/2/022401,MLAccelerator,2020,accelerators networks elements processing continuous advancement progressive applications scaling especially,2
455,10.1109/JXCDC.2021.3092436,MLAccelerator,2021,accelerators different partitioning framework requirements accelerator learning constraints processing dimensions,1
457,10.1109/TVLSI.2020.3048829,MLAccelerator,2021,processing functional characteristics computing applications increasing networks computationally multiplication operation,3
460,10.1109/MICRO50266.2020.00079,MLAccelerator,2020,learning applications critical successfully systems data applied relationships information expressed,14
462,10.1145/3527156,MLAccelerator,2023,accelerators complexity inference approximation cognitive performance learning networks neural computational,0
463,10.1109/JLT.2023.3269957,MLAccelerator,2023,accelerators application exponential specific intelligence consumption associated limited photonics capacity,0
470,10.1109/MICRO50266.2020.00066,MLAccelerator,2020,compute efficiency design execution architecture activations applications learning networks neural,1
471,10.1109/HPCA47549.2020.00062,MLAccelerator,2020,factorizations accelerate operations common applications learning analytics tools bound sparse,8
474,10.1109/HPCA51647.2021.00029,MLAccelerator,2021,recommendations performance embedding datacenters personalized learning workload inference recommendation literatures,1
477,10.3390/electronics10030314,MLAccelerator,2021,accelerator hyperspectral consumes processor technique learning machine known decision increasing,3
479,10.1145/3289185,MLAccelerator,2019,computation networks network traditional significant models features recognition regions widely,15
483,10.1109/TCAD.2021.3107401,MLAccelerator,2022,generation accelerator testable accelerators learning machine identical applications inferencing composed,1
485,10.1109/IPDPSW.2019.00016,MLAccelerator,2019,efficient recoding computing critical performance systems movement computation heterogeneous accelerator,2
487,10.1016/j.neucom.2021.05.069,MLAccelerator,2021,different architecture performance prediction recursive learning statistics systems proposed presented,0
490,10.1002/aisy.202200053,MLAccelerator,2022,forming accelerating learning implementation devices computing analysis networks resistive multiplication,2
492,10.1007/978-3-319-41321-1_11,MLAccelerator,2016,applications learning implementation execution techniques collection features classify method algorithm,5
493,10.1002/cpe.6670,MLAccelerator,2022,processing computational implementation networks environment accelerators connected reinforcement autonomous design,0
494,10.1063/5.0047940,MLAccelerator,2021,relativistic applications experiments optimization techniques deformable accelerator predicted supervised electrons,4
498,10.1109/TCSI.2021.3080042,MLAccelerator,2021,precision scalable computing accelerators presents variable structure operation coupling compute,3
500,10.1145/3079856.3080221,MLAccelerator,2017,computational convolutional present networks significant accelerators performance efficiency proposed improve,19
504,10.1109/ISPASS57527.2023.00033,MLAccelerator,2023,accelerators component techniques parallelism massive possible crucial benefits dataflow works,0
510,10.1109/ASAP52443.2021.00040,MLAccelerator,2021,performance specific accelerators efficiency greater processors portion significant modern system,0
513,10.1109/TCST.2021.3136133,MLAccelerator,2022,measurements current accelerators accelerated varying availability advanced preventing irradiation equipment,2
514,10.1080/03772063.2020.1821797,MLAccelerator,2020,architecture convolutional applications recognition networks classical computationally intensive challenging systems,1
515,10.1002/adpr.202100048,MLAccelerator,2021,optoelectronic multiplication accelerating optical operations incorporation nanostructures limitations variation properties,2
518,10.1145/3445814.3446702,MLAccelerator,2021,accelerators multiplication applications scientific learning range attractive inefficient making architectures,4
519,10.1109/JPROC.2023.3268092,MLAccelerator,2023,accelerators limitations computing particular techniques networks learning subset entail adoption,0
526,10.1109/ACCESS.2020.3009637,MLAccelerator,2020,multiplication efficient computing applications operation learning practical challenging implement variability,0
530,10.1016/j.eng.2020.01.007,MLAccelerator,2020,computing applications accelerators intelligence availability artificial investment successfully approaches learning,18
533,10.1109/ISCA45697.2020.00023,MLAccelerator,2020,performance functional functionally operations microarchitecture architecture components deterministic observations efficiency,8
535,10.1109/MICRO.2014.58,MLAccelerator,2014,processing sophisticated companies services largely computationally convolutional intensive learning algorithms,124
537,10.1145/3287624.3288756,MLAccelerator,2019,applications performance estimation processing efficient platforms implement application increasing processed,4
551,10.1145/3508352.3549453,MLAccelerator,2022,technologies different technology area computing inference accelerating memory learning conventional,0
555,10.3390/a13050125,MLAccelerator,2020,learning computing applications devices complementing present services inference viable networks,8
574,10.1016/j.engappai.2021.104638,MLAccelerator,2022,prediction proposed applications inference flexibility efficiency techniques devices learning limitations,1
575,10.1109/dac18072.2020.9218751,MLAccelerator,2020,learning inference performance existing structured networks neural problems applications detection,4
577,10.1016/j.nima.2023.168195,MLAccelerator,2023,control performance system complex modeling systems analysis optimization relationships intensity,0
583,10.1109/TETC.2020.3003328,MLAccelerator,2022,performance precision inference accelerators computational training efficient network especially evaluation,2
587,10.1364/OME.451802,MLAccelerator,2022,performance photonic structure applications mimicking interest experiencing accelerating improvement consumption,4
589,10.1109/JSSC.2017.2782087,MLAccelerator,2018,conventional integrated functional inference multi processor processing simultaneous standard periphery,23
591,10.1109/JETCAS.2019.2905654,MLAccelerator,2019,networks compute intensive dramatically quantization accelerators efficiency learning vision computer,1
592,10.1002/lpor.202200381,MLAccelerator,2023,multiplication optoelectronic optimization optical computationally incorporation substantially conventional exploration individual,0
594,10.1002/aisy.202300313,MLAccelerator,2023,inference network potential vulnerability compute acceleration systems increasingly protecting important,0
595,10.1109/JSSC.2018.2867275,MLAccelerator,2018,efficiency training conventional variations specific reduction standard stochastic classifier presents,16
596,10.1109/TC.2016.2574353,MLAccelerator,2017,computational network system inter interconnects processing sophisticated companies services consumers,18
602,10.1109/IPDPS.2016.73,MLAccelerator,2016,applications interference accelerators disparate centers primary accelerator efficient growing demands,2
606,10.1109/ISCA.2018.00039,MLAccelerator,2018,accelerators modeling virtually engineering science macroeconomics acceleration applications efficiency ubiquity,7
608,10.1109/TNNLS.2021.3082304,MLAccelerator,2022,application specific computations applications innovations technologies computational recognition substantial generation,3
612,10.1109/JSSC.2023.3313116,MLAccelerator,2023,applications energy reconfigurable acceleration processing linear continuous application evaluation automatically,0
613,10.1109/IEEECONF56349.2022.10052010,MLAccelerator,2022,integrated performance physical frameworks memristive accelerators simulators models switching dynamics,0
614,10.1109/DCAS51144.2020.9330667,MLAccelerator,2020,implementation performance efficient hardware accelerator framework implementing inference gaining importance,1
615,10.1109/TCSI.2017.2703880,MLAccelerator,2017,classification amplifiers comparator comparators typically instrumentation scaling classifier training circuits,3
616,10.3389/fphy.2022.875889,MLAccelerator,2022,optimization complexity parameters modelling accelerators particle generate radiofrequency potentially construction,1
620,10.1109/TCAD.2022.3222288,MLAccelerator,2023,applications existing method effective multiplication accelerators efficient learning computation requires,0
626,10.1109/MM.2022.3178580,MLAccelerator,2022,application description computational computing accelerators requirements processes applications accelerated incompatible,1
627,10.1021/acs.chemrev.1c00108,MLAccelerator,2022,critical artificial methods intelligence research understandable comprehensive providing general optimization,0
635,10.1109/JXCDC.2022.3202517,MLAccelerator,2022,preserving forms theoretic operations computing processes increasing resources enable evaluated,0
646,10.1109/TVLSI.2013.2278706,MLAccelerator,2014,reconfigurable methods implementation performance design efficient proposed architecture sequential optimization,2
